Hubspot Domain,Umbrella Domain,Rank 06/09/2019,Rank 06/09/2018,Rank 06/08/2017
lh.pl,lh.pl,365152,384383,125457
konga.com,konga.com,454705,412833,257813
nn07.com,nn07.com,No_Rank,No_Rank,719075
royaldesignstudio.com,royaldesignstudio.com,506260,565305,112242
shoplafitness.com,shoplafitness.com,No_Rank,No_Rank,897365
oticamix.com,oticamix.com,No_Rank,No_Rank,896207
warhistorystore.com,warhistorystore.com,No_Rank,No_Rank,951379
gravity-software.com,gravity-software.com,77619,214192,No_Rank
easycoop.com,easycoop.com,632624,No_Rank,No_Rank
ilovegrowingmarijuana.com,ilovegrowingmarijuana.com,644790,523339,562584
shoprevelry.com,shoprevelry.com,369751,No_Rank,No_Rank
advancepitstopwholesale.com,advancepitstopwholesale.com,No_Rank,No_Rank,900215
saintlouisfc.com,saintlouisfc.com,No_Rank,No_Rank,749754
www.exmed.net,www.exmed.net,936458,No_Rank,No_Rank
sotostore.com,sotostore.com,165118,339425,No_Rank
spiritedgifts.com,spiritedgifts.com,780886,978652,No_Rank
tattmetattoos.com,tattmetattoos.com,No_Rank,No_Rank,693236
craftlandshop.com,craftlandshop.com,840576,No_Rank,No_Rank
fivebelow.com,fivebelow.com,171393,208054,83559
envelopemall.com,envelopemall.com,No_Rank,778172,No_Rank
gamecustommade.co.uk,gamecustommade.co.uk,No_Rank,No_Rank,722715
www.holtzleather.com,www.holtzleather.com,390003,424397,441303
allikestore.com,allikestore.com,156483,274508,917478
bestprato.com,bestprato.com,No_Rank,No_Rank,707838
decorprice.com,decorprice.com,No_Rank,859976,No_Rank
subispeed.com,subispeed.com,557905,578557,776905
pompeiibrand.com,pompeiibrand.com,No_Rank,997539,No_Rank
sportique.com,sportique.com,612768,No_Rank,No_Rank
quickmobilefix.com,quickmobilefix.com,786785,No_Rank,No_Rank
lepetitpainstore.com,lepetitpainstore.com,No_Rank,No_Rank,397964
treesforachange.com,treesforachange.com,425674,448736,No_Rank
copypixlr.com,copypixlr.com,987295,No_Rank,No_Rank
cliksoftware.com,cliksoftware.com,647924,701753,862429
complex.com,complex.com,20704,16725,16112
oncoregolf.com,oncoregolf.com,991886,No_Rank,No_Rank
outerknown.com,outerknown.com,586408,No_Rank,311781
sneakhype.com,sneakhype.com,No_Rank,No_Rank,873849
academybus.com,academybus.com,No_Rank,858680,784055
vincecamuto.ca,vincecamuto.ca,650635,No_Rank,No_Rank
abcr.de,abcr.de,No_Rank,880396,No_Rank
hermes.com,hermes.com,147006,246444,167111
shirtsbysarah.com,shirtsbysarah.com,904227,No_Rank,914372
radpowerbikes.com,radpowerbikes.com,722847,717663,978553
urbanjunglestore.com,urbanjunglestore.com,620023,321398,No_Rank
vuelas.com,vuelas.com,No_Rank,No_Rank,924318
le3no.com,le3no.com,No_Rank,No_Rank,622735
elumeen.com,elumeen.com,No_Rank,No_Rank,893647
pitbullaudio.com,pitbullaudio.com,955235,869759,No_Rank
graphicteeshops.com,graphicteeshops.com,470954,No_Rank,No_Rank
acemart.com,acemart.com,789535,858702,No_Rank
hearst.com,hearst.com,284592,23678,14216
zeenwoman.com,zeenwoman.com,No_Rank,No_Rank,962233
www.stilacosmetics.com,www.stilacosmetics.com,No_Rank,926895,No_Rank
hearst.com,hearst.com,284592,23678,14216
oqium.com,oqium.com,580379,516097,No_Rank
saveritemedical.com,saveritemedical.com,712952,No_Rank,No_Rank
deadgoodundies.com,deadgoodundies.com,811020,No_Rank,No_Rank
alphagraphics.com,alphagraphics.com,461439,413450,467733
cohensfashionoptical.com,cohensfashionoptical.com,No_Rank,No_Rank,909766
shopsweetlulu.com,shopsweetlulu.com,No_Rank,No_Rank,617461
geschenkidee.de,geschenkidee.de,940839,947280,985037
mrsbridalshop.com,mrsbridalshop.com,No_Rank,No_Rank,957547
simpleroutebridal.com,simpleroutebridal.com,No_Rank,No_Rank,640060
intel.com,intel.com,1315,2964,3066
ourdogsgotablog.com,ourdogsgotablog.com,No_Rank,No_Rank,749141
huhmagazine.co.uk,huhmagazine.co.uk,No_Rank,720995,555071
golfdiscount.com,golfdiscount.com,373989,349833,518976
tortugabackpacks.com,tortugabackpacks.com,630977,704521,806396
tropicaltraditions.com,tropicaltraditions.com,No_Rank,999441,800257
mayvanphongtanviet.com,mayvanphongtanviet.com,792489,No_Rank,No_Rank
ewamboutique.com,ewamboutique.com,656451,No_Rank,No_Rank
pretavoir.co.uk,pretavoir.co.uk,903273,862766,817995
nrahq.org,nrahq.org,442625,299869,149057
urbandaddy.com,urbandaddy.com,120629,100125,89791
jusbyjulie.com,jusbyjulie.com,498158,746184,797981
www.asics.com,www.asics.com,134297,213854,209610
supthemag.com,supthemag.com,No_Rank,804820,173854
www.hawkridgesys.com,www.hawkridgesys.com,No_Rank,No_Rank,756100
stx.com,stx.com,No_Rank,748025,No_Rank
infmetry.com,infmetry.com,No_Rank,No_Rank,222194
wholelattelove.com,wholelattelove.com,713778,560609,750575
biggerbolderbaking.com,biggerbolderbaking.com,378380,422523,453303
gentlemanjoe.com,gentlemanjoe.com,873692,No_Rank,No_Rank
gruntforce.com,gruntforce.com,No_Rank,No_Rank,975218
wearlively.com,wearlively.com,470146,687659,No_Rank
netaya.com,netaya.com,779591,822082,No_Rank
monsterproducts.com,monsterproducts.com,No_Rank,No_Rank,775426
janitorialsupplies.co.uk,janitorialsupplies.co.uk,766340,No_Rank,No_Rank
dabbl.co.uk,dabbl.co.uk,No_Rank,No_Rank,954879
usawaterski.org,usawaterski.org,No_Rank,No_Rank,408768
pat-services.co.uk,pat-services.co.uk,No_Rank,No_Rank,997733
turnoutpac.org,turnoutpac.org,322340,409302,411200
robotshop.com,robotshop.com,360419,310864,297713
megacalzado.com,megacalzado.com,No_Rank,No_Rank,718787
symbria.com,symbria.com,794419,No_Rank,845198
quickattach.com,quickattach.com,No_Rank,536410,No_Rank
adidas.com.kw,adidas.com.kw,No_Rank,688469,No_Rank
nicennaughty.co.uk,nicennaughty.co.uk,867076,No_Rank,No_Rank
morninggloryus.com,morninggloryus.com,No_Rank,898954,No_Rank
lafrieda.com,lafrieda.com,No_Rank,No_Rank,947398
farmaciaeficacia.com.br,farmaciaeficacia.com.br,No_Rank,No_Rank,747663
winefolly.com,winefolly.com,265827,314896,198849
ussquash.com,ussquash.com,476379,629074,353108
anjunabeats.com,anjunabeats.com,510862,558603,756923
whoop.com,whoop.com,98736,97715,390986
really-learn-english.com,really-learn-english.com,670805,557676,601812
fightchix.com,fightchix.com,No_Rank,984191,No_Rank
haatmarket.com,haatmarket.com,No_Rank,930024,No_Rank
www.asicsamerica.com,www.asicsamerica.com,No_Rank,No_Rank,942484
borderfree.com,borderfree.com,19441,23554,41495
zegna.com,zegna.com,578670,421312,433078
rageon.com,rageon.com,157624,153286,127342
www.jovani.com,www.jovani.com,676251,667849,925124
arduino.cc,arduino.cc,61052,59574,60786
strivectin.com,strivectin.com,957025,878299,800021
luvoinc.com,luvoinc.com,No_Rank,No_Rank,704811
wtennis.com.br,wtennis.com.br,No_Rank,No_Rank,495115
sportsmaniausa.com,sportsmaniausa.com,904480,No_Rank,No_Rank
thirdlove.com,thirdlove.com,95025,61134,38333
hyperice.com,hyperice.com,857400,No_Rank,No_Rank
myrume.com,myrume.com,No_Rank,No_Rank,939342
cutterbuck.com,cutterbuck.com,386609,777788,No_Rank
ordnancesurvey.co.uk,ordnancesurvey.co.uk,145798,82754,160553
conservatives.com,conservatives.com,681762,772050,98056
corsetsqueen.com,corsetsqueen.com,690941,No_Rank,No_Rank
zumiez.com,zumiez.com,92861,99400,109204
heatonist.com,heatonist.com,492457,624320,No_Rank
venchi.com,venchi.com,No_Rank,No_Rank,665555
senado.leg.br,senado.leg.br,538054,622313,117126
sallyeander.com,sallyeander.com,No_Rank,849275,No_Rank
schleich-s.com,schleich-s.com,980738,No_Rank,No_Rank
vapornation.com,vapornation.com,No_Rank,836790,No_Rank
gigaset.com,gigaset.com,644620,517520,367020
ammo.com,ammo.com,803069,911587,No_Rank
brinkcase.com,brinkcase.com,No_Rank,574089,No_Rank
cityvineyardnyc.com,cityvineyardnyc.com,No_Rank,No_Rank,945223
daydesigner.com,daydesigner.com,No_Rank,929042,612681
sperry.com,sperry.com,186338,298776,317887
hotsplots.de,hotsplots.de,407620,424913,552644
sweat.com,sweat.com,119158,284003,No_Rank
cntrbndshop.com,cntrbndshop.com,695573,813602,No_Rank
chrishaventrees.com,chrishaventrees.com,950215,No_Rank,No_Rank
getaway.house,getaway.house,607976,685474,No_Rank
cjponyparts.com,cjponyparts.com,147322,219521,234487
landrover.com,landrover.com,136623,232462,158200
letudiant.fr,letudiant.fr,433591,339258,274936
johngeigerco.com,johngeigerco.com,665413,No_Rank,No_Rank
www.forever21.com,www.forever21.com,28476,29591,32440
brainmdhealth.com,brainmdhealth.com,747131,838778,973275
fnac.com,fnac.com,60217,65487,63881
bahamabucks.com,bahamabucks.com,928027,No_Rank,No_Rank
evolvevacationrental.com,evolvevacationrental.com,419338,661671,779677
victoriabeckham.com,victoriabeckham.com,No_Rank,999748,661819
moodmedia.com,moodmedia.com,73583,104192,189793
yellowstartactical.com,yellowstartactical.com,431801,No_Rank,No_Rank
constructiveplaythings.com,constructiveplaythings.com,764962,No_Rank,No_Rank
rebeccaminkoff.com,rebeccaminkoff.com,442785,327164,353801
cardmachineoutlet.com,cardmachineoutlet.com,621175,No_Rank,No_Rank
www.nerium.com,www.nerium.com,No_Rank,No_Rank,860702
backtorealitee.com,backtorealitee.com,No_Rank,No_Rank,840769
michaelbuble.com,michaelbuble.com,792626,No_Rank,No_Rank
www.guitarcenter.com,www.guitarcenter.com,68884,73007,92512
hunkemoller.com,hunkemoller.com,437148,463056,416739
cartoys.com,cartoys.com,No_Rank,688914,993345
freshproduceclothes.com,freshproduceclothes.com,621766,No_Rank,No_Rank
leadapparel.com,leadapparel.com,No_Rank,673793,No_Rank
electriccalifornia.com,electriccalifornia.com,919340,No_Rank,No_Rank
autometer.com,autometer.com,643686,No_Rank,No_Rank
echl.com,echl.com,556546,413647,506309
coffeeforless.com,coffeeforless.com,No_Rank,No_Rank,731775
www.purityproducts.com,www.purityproducts.com,936914,518719,571879
mckenzy.it,mckenzy.it,No_Rank,No_Rank,857266
u-tec.com,u-tec.com,728879,No_Rank,No_Rank
cichic.com,cichic.com,492155,394549,282842
rangemonkey.com,rangemonkey.com,638049,488867,498781
urcheeky.com,urcheeky.com,No_Rank,857075,No_Rank
www.cdw.com,www.cdw.com,36726,39333,52742
www.nashvillewraps.com,www.nashvillewraps.com,936802,No_Rank,943102
millenniumshoes.com,millenniumshoes.com,No_Rank,No_Rank,823582
parcboutique.com,parcboutique.com,No_Rank,No_Rank,743914
roguefitness.com,roguefitness.com,119223,117746,149740
tennisworldshop.com,tennisworldshop.com,No_Rank,No_Rank,776991
aventuron.com,aventuron.com,519149,No_Rank,No_Rank
ilnp.com,ilnp.com,910534,No_Rank,No_Rank
purebarre.com,purebarre.com,460789,395775,425841
postupstand.com,postupstand.com,744168,No_Rank,940100
threebirdnest.com,threebirdnest.com,No_Rank,885854,No_Rank
rockymountainsusp.com,rockymountainsusp.com,968227,885125,949858
wedgwood.com,wedgwood.com,616631,No_Rank,No_Rank
template-help.com,template-help.com,221192,246337,159123
namebrandwigs.com,namebrandwigs.com,687868,No_Rank,No_Rank
hitobuwie.pl,hitobuwie.pl,No_Rank,720961,No_Rank
ipumpshop.com,ipumpshop.com,716483,No_Rank,No_Rank
axaltacs.com,axaltacs.com,505133,494354,580310
lincolncenter.org,lincolncenter.org,459078,552294,500324
www.superherostuff.com,www.superherostuff.com,No_Rank,754317,934358
suplementosmaisbaratos.com.br,suplementosmaisbaratos.com.br,No_Rank,No_Rank,387702
priceline.com.au,priceline.com.au,No_Rank,940890,913465
www.vitaminshoppe.com,www.vitaminshoppe.com,86705,85116,105385
cakesupplies4u.com,cakesupplies4u.com,No_Rank,945751,No_Rank
leaffilter.com,leaffilter.com,604966,621407,895000
oneills.com,oneills.com,851176,899527,653437
jamu.cz,jamu.cz,No_Rank,No_Rank,649386
4for4.com,4for4.com,796064,776729,No_Rank
vaporfi.com,vaporfi.com,650608,595845,711127
lightninglabels.com,lightninglabels.com,674133,No_Rank,397967
ebizmarts.com,ebizmarts.com,No_Rank,No_Rank,910326
world-of-ants.com,world-of-ants.com,No_Rank,No_Rank,766413
killermotorsports.com,killermotorsports.com,805498,No_Rank,No_Rank
tonneaucoversworld.com,tonneaucoversworld.com,814992,568178,715622
shechoic.com,shechoic.com,No_Rank,877979,No_Rank
xavierhs.org,xavierhs.org,No_Rank,918899,No_Rank
thekooples.co.uk,thekooples.co.uk,728745,No_Rank,No_Rank
goodamerican.com,goodamerican.com,433460,417700,638673
koombea.com,koombea.com,754631,861431,629046
everytown.org,everytown.org,132132,268471,554904
navc.com,navc.com,586280,907334,857619
vivelafete.com,vivelafete.com,745483,No_Rank,No_Rank
www.vfc.com,www.vfc.com,751888,684037,316672
bulletproof.com,bulletproof.com,188178,224772,221580
www.zenimax.com,www.zenimax.com,795814,No_Rank,464372
canopygrowth.com,canopygrowth.com,668530,No_Rank,No_Rank
marathonsports.com,marathonsports.com,551899,644501,No_Rank
uc.edu,uc.edu,75678,83836,57794
lax.com,lax.com,701656,559556,598015
viablossom.com,viablossom.com,No_Rank,No_Rank,413595
adsinc.com,adsinc.com,960493,760309,721531
vangilsdewit.nl,vangilsdewit.nl,794806,No_Rank,No_Rank
vaporandco.com,vaporandco.com,No_Rank,925668,No_Rank
curlmix.com,curlmix.com,413814,No_Rank,No_Rank
haskells.com,haskells.com,No_Rank,938567,No_Rank
whatsmode.com,whatsmode.com,No_Rank,733122,No_Rank
mooseknucklescanada.com,mooseknucklescanada.com,No_Rank,996465,No_Rank
reprintmint.com,reprintmint.com,No_Rank,303423,93430
scic.com,scic.com,524685,586889,629983
flatfair.com,flatfair.com,No_Rank,No_Rank,902231
wsgc.com,wsgc.com,658843,645854,408810
pentel.com,pentel.com,No_Rank,940721,939911
theadvocate.com,theadvocate.com,62919,87044,66147
onepercentfortheplanet.org,onepercentfortheplanet.org,No_Rank,555055,570846
www.adenandanais.com,www.adenandanais.com,925612,No_Rank,No_Rank
rsi.ch,rsi.ch,626801,351314,215011
sevenly.org,sevenly.org,No_Rank,No_Rank,640036
www.ebth.com,www.ebth.com,193079,234965,221520
flwfishing.com,flwfishing.com,390368,437065,469755
sitnsleep.com,sitnsleep.com,904301,No_Rank,No_Rank
aev-conversions.com,aev-conversions.com,No_Rank,No_Rank,741291
collingwoodfc.com.au,collingwoodfc.com.au,No_Rank,668891,954635
deepsteep.com,deepsteep.com,No_Rank,No_Rank,485859
k12courses.com,k12courses.com,No_Rank,No_Rank,786102
fullers.co.uk,fullers.co.uk,No_Rank,566939,675148
swalter.com,swalter.com,590137,No_Rank,No_Rank
hardtailforever.com,hardtailforever.com,No_Rank,827215,No_Rank
asiamiles.com,asiamiles.com,154933,252566,278954
solorugs.com,solorugs.com,No_Rank,988498,No_Rank
surveillance-video.com,surveillance-video.com,868816,625650,923606
kopperschocolate.com,kopperschocolate.com,No_Rank,875779,No_Rank
bynifty.com,bynifty.com,No_Rank,760753,No_Rank
herbspro.com,herbspro.com,554131,544964,583630
modani.com,modani.com,932180,No_Rank,775418
fatbeats.com,fatbeats.com,742423,No_Rank,No_Rank
naasr.org,naasr.org,No_Rank,No_Rank,502564
monsieur-cuisine.com,monsieur-cuisine.com,827417,No_Rank,No_Rank
amac.nl,amac.nl,789648,416365,No_Rank
www.gardner-white.com,www.gardner-white.com,958742,No_Rank,No_Rank
jewelry.com,jewelry.com,737600,No_Rank,894795
www.furniturewithasoul.com,www.furniturewithasoul.com,915738,No_Rank,No_Rank
diyaudiostore.com,diyaudiostore.com,No_Rank,946517,927861
ella-juwelen.de,ella-juwelen.de,No_Rank,693615,No_Rank
arredaclick.com,arredaclick.com,No_Rank,992056,No_Rank
angeliquelingerie.com,angeliquelingerie.com,871388,No_Rank,No_Rank
royalapparel.net,royalapparel.net,No_Rank,No_Rank,978752
paulsmiths.edu,paulsmiths.edu,No_Rank,No_Rank,592715
kingice.com,kingice.com,941873,No_Rank,No_Rank
taylorusa.com,taylorusa.com,No_Rank,No_Rank,806275
chefsteps.com,chefsteps.com,460100,412578,346262
toffs.com,toffs.com,No_Rank,753403,No_Rank
credeal.com.br,credeal.com.br,614337,No_Rank,No_Rank
dieselpowerproducts.com,dieselpowerproducts.com,556465,697765,862748
barproducts.com,barproducts.com,855368,No_Rank,821139
knobdeco.com,knobdeco.com,513666,No_Rank,No_Rank
transitionaldata.com,transitionaldata.com,No_Rank,No_Rank,788460
hvac.com,hvac.com,701343,921919,894400
icebearmotors.com.au,icebearmotors.com.au,No_Rank,No_Rank,928973
xlear.com,xlear.com,No_Rank,754455,No_Rank
vitra.com,vitra.com,558112,475191,490998
lavryengineering.com,lavryengineering.com,No_Rank,No_Rank,886839
mynystyle.com,mynystyle.com,No_Rank,655299,No_Rank
creativefunvinyl.com,creativefunvinyl.com,No_Rank,No_Rank,583286
seraphine.com,seraphine.com,560464,695550,771070
zelistore.com,zelistore.com,No_Rank,887483,No_Rank
mizzenandmain.com,mizzenandmain.com,571283,658764,895564
brightcellars.com,brightcellars.com,790109,531037,381805
liveoriginal.com,liveoriginal.com,892393,No_Rank,No_Rank
gracelandfruit.com,gracelandfruit.com,No_Rank,No_Rank,886108
indochino.com,indochino.com,121255,95074,64292
adamspolishes.com,adamspolishes.com,681105,528752,641177
farmacia-morlan.com,farmacia-morlan.com,607868,No_Rank,No_Rank
benandfrank.com,benandfrank.com,817310,No_Rank,149302
mjtrim.com,mjtrim.com,No_Rank,815650,957464
shopacrimony.com,shopacrimony.com,718048,No_Rank,No_Rank
onabags.com,onabags.com,No_Rank,No_Rank,817712
hearnshobbies.com,hearnshobbies.com,660841,No_Rank,No_Rank
www.midlandhardware.com,www.midlandhardware.com,639100,642714,No_Rank
www.americanapparel.com,www.americanapparel.com,499050,616584,No_Rank
chichicosmetics.com,chichicosmetics.com,No_Rank,No_Rank,862361
animetee.com,animetee.com,267464,911620,334939
www.way.com,www.way.com,439226,582009,654897
cboe.com,cboe.com,186436,247232,254355
impressmanicure.com,impressmanicure.com,798503,No_Rank,No_Rank
kumhotyre.co.uk,kumhotyre.co.uk,No_Rank,612099,929439
businessworld.in,businessworld.in,600825,332509,308539
www.oreillyauto.com,www.oreillyauto.com,79188,77312,69116
restaurantware.com,restaurantware.com,739058,No_Rank,No_Rank
trekphonecases.com,trekphonecases.com,739687,No_Rank,No_Rank
customshirts.com,customshirts.com,No_Rank,795381,No_Rank
cetaphil.com,cetaphil.com,880979,No_Rank,645069
iosflashdrive.com,iosflashdrive.com,No_Rank,808692,No_Rank
esportsobserver.com,esportsobserver.com,464746,725470,306273
quellrelief.com,quellrelief.com,767704,No_Rank,No_Rank
missmalini.com,missmalini.com,743487,403521,240717
limbic.com,limbic.com,No_Rank,898481,525663
mingift.com,mingift.com,515831,No_Rank,No_Rank
mountainside-medical.com,mountainside-medical.com,743528,No_Rank,No_Rank
bikeexif.com,bikeexif.com,388400,312740,267138
gopro-mania.nl,gopro-mania.nl,818873,No_Rank,No_Rank
campsaver.com,campsaver.com,298991,454506,279916
eyesonwalls.com,eyesonwalls.com,No_Rank,No_Rank,353496
zepp.com,zepp.com,No_Rank,No_Rank,756582
cheapundies.com,cheapundies.com,643976,551635,815186
lafurniturestore.com,lafurniturestore.com,No_Rank,No_Rank,753478
myproductportal.com,myproductportal.com,No_Rank,589211,328637
auvieuxcampeur.fr,auvieuxcampeur.fr,No_Rank,895846,655315
acegroup.cc,acegroup.cc,390112,415401,340719
butterflylife.com,butterflylife.com,No_Rank,838812,No_Rank
tradewindsimports.com,tradewindsimports.com,774826,No_Rank,No_Rank
liqwid.com,liqwid.com,No_Rank,209981,829680
adopt.fr,adopt.fr,No_Rank,No_Rank,801906
tacklewarehouse.com,tacklewarehouse.com,237179,244708,213460
vaadiherbals.in,vaadiherbals.in,No_Rank,492296,No_Rank
ouidad.com,ouidad.com,867385,752266,817765
worldpressphoto.org,worldpressphoto.org,982745,864519,715972
laboutiquedeslecteurs.fr,laboutiquedeslecteurs.fr,No_Rank,796690,798035
backdropoutlet.com,backdropoutlet.com,730488,568919,412709
apeandapple.com,apeandapple.com,998804,No_Rank,No_Rank
natalmarket.com,natalmarket.com,717167,No_Rank,No_Rank
www.cardkingdom.com,www.cardkingdom.com,240546,344733,462535
gosportscards.com,gosportscards.com,567867,No_Rank,No_Rank
companyfortytwo.com,companyfortytwo.com,No_Rank,No_Rank,695060
alinanova.com,alinanova.com,770221,No_Rank,No_Rank
optic2000.com,optic2000.com,No_Rank,No_Rank,696613
ultykhopdi.com,ultykhopdi.com,398290,No_Rank,No_Rank
winterkids.com,winterkids.com,No_Rank,370123,No_Rank
oshopping.com.ph,oshopping.com.ph,No_Rank,305764,No_Rank
hobbyking.com,hobbyking.com,255089,274592,256937
coned.com,coned.com,101508,65480,123806
www.bunn.com,www.bunn.com,878474,No_Rank,819750
hukgear.com,hukgear.com,691690,725863,886293
essen-und-trinken.de,essen-und-trinken.de,382150,321654,232877
mestrelab.com,mestrelab.com,732575,847955,No_Rank
ashridgetrees.co.uk,ashridgetrees.co.uk,No_Rank,No_Rank,876626
oversoyed.com,oversoyed.com,722421,No_Rank,No_Rank
beautyempirestore.com,beautyempirestore.com,917795,No_Rank,717177
enerhealthbotanicals.com,enerhealthbotanicals.com,No_Rank,594264,713074
zadig-et-voltaire.com,zadig-et-voltaire.com,597130,728957,875892
hifiheadphones.co.uk,hifiheadphones.co.uk,625581,No_Rank,No_Rank
grapevine.is,grapevine.is,952154,432515,902489
shop.crackerbarrel.com,shop.crackerbarrel.com,733852,829703,701587
sillyjokes.co.uk,sillyjokes.co.uk,No_Rank,998623,No_Rank
performancetoolcenter.com,performancetoolcenter.com,No_Rank,768711,No_Rank
daenischesbettenlager.de,daenischesbettenlager.de,864387,No_Rank,No_Rank
fourtwofouronfairfax.com,fourtwofouronfairfax.com,669260,889865,No_Rank
minhaoticaonline.com.br,minhaoticaonline.com.br,966139,No_Rank,No_Rank
casadelaslomas.com,casadelaslomas.com,898984,No_Rank,No_Rank
phonebibi.com,phonebibi.com,No_Rank,No_Rank,303596
bitcoin.com,bitcoin.com,89583,54091,98941
lazboyoutdoor.com,lazboyoutdoor.com,No_Rank,No_Rank,836152
brooktaverner.co.uk,brooktaverner.co.uk,No_Rank,No_Rank,935887
turtlecontacts.com,turtlecontacts.com,895707,No_Rank,No_Rank
mail.kaptest.com,mail.kaptest.com,399851,314292,607231
beachblissliving.com,beachblissliving.com,949513,794729,572270
lq-cofepow.org,lq-cofepow.org,798962,No_Rank,No_Rank
jeckaroonieballoons.com,jeckaroonieballoons.com,No_Rank,No_Rank,625861
ivn.us,ivn.us,No_Rank,975526,No_Rank
dollhousejunction.com,dollhousejunction.com,790884,No_Rank,No_Rank
loadmedical.com,loadmedical.com,No_Rank,No_Rank,829700
littlemacboutique.com,littlemacboutique.com,No_Rank,No_Rank,842943
transporter-footwear.com,transporter-footwear.com,No_Rank,No_Rank,755451
chpolishpottery.com,chpolishpottery.com,918404,No_Rank,No_Rank
cufflinks.com,cufflinks.com,No_Rank,789403,828217
fundrise.com,fundrise.com,186486,338599,628680
wwf.org.hk,wwf.org.hk,No_Rank,625984,644023
igloocoolers.com,igloocoolers.com,633081,854065,985478
googoodolls.com,googoodolls.com,940953,342062,816178
rcplondon.ac.uk,rcplondon.ac.uk,649959,908350,623476
stemcell.com,stemcell.com,389004,495475,546568
cusa.canon.com,cusa.canon.com,175552,226182,147468
shedolane.com,shedolane.com,829045,No_Rank,No_Rank
foliodrop.com,foliodrop.com,648470,No_Rank,No_Rank
hackaday.com,hackaday.com,80082,111931,114474
giftsleads.com,giftsleads.com,784765,840127,No_Rank
forrestandharold.com,forrestandharold.com,882209,No_Rank,No_Rank
wowhomemade.com,wowhomemade.com,No_Rank,No_Rank,845804
thehappydolphinpets.com,thehappydolphinpets.com,886441,No_Rank,No_Rank
feelgift.com,feelgift.com,No_Rank,549550,768794
tkqlhce.com,tkqlhce.com,38838,34597,17818
rogersondemand.com,rogersondemand.com,No_Rank,No_Rank,409831
tommybahama.com,tommybahama.com,77106,195685,81826
winwin.rs,winwin.rs,445736,No_Rank,No_Rank
lagarconne.com,lagarconne.com,437238,694342,616447
7dayshop.com,7dayshop.com,436727,386734,778396
worldstarhiphop.com,worldstarhiphop.com,47204,37665,37750
stampersanonymous.com,stampersanonymous.com,750656,No_Rank,No_Rank
uapac.com,uapac.com,914794,No_Rank,924021
apxautoparts.com,apxautoparts.com,907757,No_Rank,No_Rank
magentocommerce.com,magentocommerce.com,114490,94783,68945
pressgazette.co.uk,pressgazette.co.uk,619325,609718,401477
diabetesincontrol.com,diabetesincontrol.com,797522,519207,954998
tblogsshop.com.br,tblogsshop.com.br,No_Rank,No_Rank,701851
monrovia.com,monrovia.com,190100,247902,245024
livrariasaraiva.com.br,livrariasaraiva.com.br,546809,404370,36851
rexrothreplacements.com,rexrothreplacements.com,327248,No_Rank,No_Rank
www.gumps.com,www.gumps.com,No_Rank,649573,No_Rank
robertallendesign.com,robertallendesign.com,No_Rank,924485,998669
e3expostore.com,e3expostore.com,No_Rank,No_Rank,489766
keepcalmandcarryon.com,keepcalmandcarryon.com,866037,No_Rank,886718
freeflyapparel.com,freeflyapparel.com,127156,356085,No_Rank
playseatstore.com,playseatstore.com,No_Rank,768759,No_Rank
har.com,har.com,51577,60813,70890
shelter.org.uk,shelter.org.uk,445553,475012,454254
adventist.org,adventist.org,412547,439177,336374
foreverliving.com,foreverliving.com,537070,569430,403402
invisionapp.com,invisionapp.com,17299,20633,26549
petsy.mx,petsy.mx,733160,No_Rank,No_Rank
shereadstruth.com,shereadstruth.com,800780,510959,402751
ooredoo.om,ooredoo.om,446661,476300,534539
burkedecor.com,burkedecor.com,386538,528916,337110
bigboy.com,bigboy.com,986282,No_Rank,No_Rank
shareasale.com,shareasale.com,16028,15052,13211
cancaonova.com,cancaonova.com,517144,433464,83689
shawnmendesofficial.com,shawnmendesofficial.com,885865,414100,No_Rank
lehner-versand.ch,lehner-versand.ch,785426,615229,No_Rank
atvrider.com,atvrider.com,No_Rank,511642,No_Rank
farmadelivery.com.br,farmadelivery.com.br,350875,340843,294888
neonet.pl,neonet.pl,449379,538423,872396
screamingowl.com,screamingowl.com,No_Rank,758364,923039
dieselpowergear.com,dieselpowergear.com,790805,No_Rank,No_Rank
enav.it,enav.it,No_Rank,No_Rank,747569
ergobaby.com,ergobaby.com,573602,491389,No_Rank
sophieparis.com,sophieparis.com,No_Rank,792534,No_Rank
photos.com,photos.com,530932,496816,106435
popcultcha.com.au,popcultcha.com.au,425440,609701,657120
lspace.com,lspace.com,No_Rank,840917,938521
sidechef.com,sidechef.com,No_Rank,722704,No_Rank
hargrovescycles.co.uk,hargrovescycles.co.uk,640666,No_Rank,No_Rank
capital.de,capital.de,710237,693100,No_Rank
mdm.de,mdm.de,626050,698820,215706
alfred.com,alfred.com,550838,585094,756871
www.ifit.com,www.ifit.com,259749,246588,199270
beatniconline.com,beatniconline.com,No_Rank,568936,No_Rank
wigstudio1.com,wigstudio1.com,No_Rank,No_Rank,745412
koparibeauty.com,koparibeauty.com,687401,898353,675543
mostlymusic.com,mostlymusic.com,942812,883873,668070
senitaathletics.com,senitaathletics.com,110434,No_Rank,No_Rank
divatress.com,divatress.com,700698,801581,964348
killerrobotgames.com,killerrobotgames.com,No_Rank,No_Rank,265493
shopimpressions.com,shopimpressions.com,400106,892945,593121
iccsafe.org,iccsafe.org,96113,98148,108730
koparibeauty.com,koparibeauty.com,687401,898353,675543
